candidate_id,candidate_name,skills,accessibility_requirements,max_commute_km,preferred_work_mode,min_salary_lpa
CAND-2001,Candidate 01,documentation;communication;sql;customer_support;python,assistive_technology;step_free_entry;captioned_meetings;ergonomic_workspace,21.0,Remote,8.8
CAND-2002,Candidate 02,testing;customer_support;sql;project_management;excel,remote_option;flexible_schedule;quiet_workspace;assistive_technology,9.9,Hybrid,6.4
CAND-2003,Candidate 03,documentation;excel;customer_support;communication;python,accessible_toilet;flexible_schedule;step_free_entry;captioned_meetings,11.8,Any,8.3
CAND-2004,Candidate 04,sql;testing;data_analysis;design;project_management,quiet_workspace;remote_option;captioned_meetings;flexible_schedule,22.1,Hybrid,5.2
CAND-2005,Candidate 05,project_management;python;data_analysis;testing;sql,quiet_workspace;flexible_schedule;ergonomic_workspace;accessible_toilet,20.2,Remote,5.8
CAND-2006,Candidate 06,data_analysis;customer_support;testing;communication;excel,wheelchair_access;accessible_parking;captioned_meetings;assistive_technology,12.5,On-site,6.2
CAND-2007,Candidate 07,documentation;testing;sql;python;data_analysis,step_free_entry;assistive_technology;screen_reader_support;remote_option,14.8,Remote,8.8
CAND-2008,Candidate 08,testing;design;documentation;data_analysis;project_management,wheelchair_access;captioned_meetings;step_free_entry;accessible_parking,16.7,On-site,4.0
CAND-2009,Candidate 09,customer_support;excel;python;design;project_management,flexible_schedule;screen_reader_support;quiet_workspace;accessible_parking,28.5,Remote,7.0
CAND-2010,Candidate 10,python;data_analysis;customer_support;design;documentation,assistive_technology;screen_reader_support;remote_option;flexible_schedule,14.5,On-site,7.7
CAND-2011,Candidate 11,excel;testing;customer_support;python;design,step_free_entry;remote_option;ergonomic_workspace;wheelchair_access,7.3,Hybrid,3.7
CAND-2012,Candidate 12,documentation;excel;customer_support;sql;python,assistive_technology;ergonomic_workspace;flexible_schedule;captioned_meetings,12.2,Hybrid,4.1
CAND-2013,Candidate 13,design;excel;documentation;data_analysis;testing,assistive_technology;flexible_schedule;screen_reader_support;remote_option,9.6,Hybrid,7.4
CAND-2014,Candidate 14,communication;design;project_management;testing;documentation,accessible_toilet;ergonomic_workspace;accessible_parking;quiet_workspace,9.6,Any,4.1
CAND-2015,Candidate 15,testing;python;data_analysis;communication;excel,accessible_parking;wheelchair_access;flexible_schedule;step_free_entry,7.3,Remote,5.8
CAND-2016,Candidate 16,python;customer_support;data_analysis;sql;testing,quiet_workspace;accessible_toilet;screen_reader_support;step_free_entry,29.1,Remote,3.7
CAND-2017,Candidate 17,customer_support;data_analysis;design;communication;python,captioned_meetings;quiet_workspace;remote_option;wheelchair_access,26.2,Hybrid,8.0
CAND-2018,Candidate 18,data_analysis;project_management;testing;excel;sql,assistive_technology;accessible_toilet;screen_reader_support;accessible_parking,6.1,On-site,7.1
CAND-2019,Candidate 19,sql;design;project_management;excel;data_analysis,quiet_workspace;remote_option;wheelchair_access;screen_reader_support,8.6,Any,5.5
CAND-2020,Candidate 20,documentation;customer_support;project_management;design;sql,remote_option;screen_reader_support;accessible_parking;captioned_meetings,27.3,Remote,8.3
CAND-2021,Candidate 21,sql;data_analysis;design;excel;project_management,wheelchair_access;step_free_entry;accessible_parking;screen_reader_support,19.3,Any,5.9
CAND-2022,Candidate 22,data_analysis;sql;documentation;communication;project_management,step_free_entry;remote_option;flexible_schedule;accessible_parking,27.1,On-site,3.6
CAND-2023,Candidate 23,python;testing;sql;customer_support;project_management,quiet_workspace;step_free_entry;screen_reader_support;captioned_meetings,15.3,On-site,8.7
CAND-2024,Candidate 24,design;excel;project_management;data_analysis;testing,quiet_workspace;accessible_parking;wheelchair_access;ergonomic_workspace,29.8,Remote,4.4
CAND-2025,Candidate 25,python;sql;testing;excel;documentation,step_free_entry;captioned_meetings;wheelchair_access;flexible_schedule,29.7,Any,5.9
CAND-2026,Candidate 26,excel;project_management;testing;communication;design,screen_reader_support;captioned_meetings;wheelchair_access;accessible_toilet,28.4,Remote,9.0
CAND-2027,Candidate 27,design;customer_support;communication;data_analysis;python,wheelchair_access;accessible_parking;ergonomic_workspace;screen_reader_support,8.4,Hybrid,7.3
CAND-2028,Candidate 28,documentation;project_management;python;testing;design,assistive_technology;step_free_entry;screen_reader_support;quiet_workspace,27.7,Hybrid,5.9
CAND-2029,Candidate 29,data_analysis;project_management;design;customer_support;python,ergonomic_workspace;quiet_workspace;flexible_schedule;assistive_technology,4.2,On-site,4.5
CAND-2030,Candidate 30,python;communication;customer_support;sql;excel,wheelchair_access;screen_reader_support;accessible_parking;step_free_entry,27.0,On-site,8.2
CAND-2031,Candidate 31,project_management;communication;sql;testing;python,accessible_parking;screen_reader_support;wheelchair_access;ergonomic_workspace,22.4,On-site,7.6
CAND-2032,Candidate 32,data_analysis;testing;excel;project_management;communication,accessible_parking;screen_reader_support;captioned_meetings;step_free_entry,22.5,On-site,5.7
CAND-2033,Candidate 33,project_management;customer_support;testing;data_analysis;documentation,captioned_meetings;accessible_parking;screen_reader_support;assistive_technology,23.3,Any,6.4
CAND-2034,Candidate 34,project_management;communication;sql;design;customer_support,wheelchair_access;remote_option;screen_reader_support;accessible_toilet,21.2,Remote,5.1
CAND-2035,Candidate 35,documentation;excel;communication;design;testing,accessible_toilet;assistive_technology;step_free_entry;captioned_meetings,13.9,On-site,4.0
