job_id,title,company,location,work_mode,commute_km,salary_lpa,required_skills,accessibility_features,flexibility_score,accessibility_score,workplace_support_score
JOB-1001,Technical Support Associate,Accessible Employer A,Bengaluru,Remote,13.7,5.5,documentation;communication;project_management;testing,assistive_technology;flexible_schedule;accessible_parking;screen_reader_support;accessible_toilet;step_free_entry,51,62,76
JOB-1002,Project Coordinator,Accessible Employer B,Hyderabad,Remote,15.8,8.9,data_analysis;design;sql;excel,remote_option;ergonomic_workspace;wheelchair_access;quiet_workspace;accessible_parking;screen_reader_support,65,86,57
JOB-1003,QA Analyst,Accessible Employer C,Bengaluru,Hybrid,21.6,7.5,design;customer_support;excel;testing,wheelchair_access;ergonomic_workspace;accessible_parking;step_free_entry;flexible_schedule;captioned_meetings,87,94,60
JOB-1004,Customer Support Specialist,Accessible Employer D,Remote,On-site,24.4,10.3,excel;documentation;python;testing,screen_reader_support;step_free_entry;wheelchair_access;accessible_toilet;captioned_meetings;quiet_workspace,95,68,96
JOB-1005,QA Analyst,Accessible Employer E,Chennai,Remote,32.7,18.1,customer_support;documentation;testing;excel,accessible_parking;remote_option;captioned_meetings;wheelchair_access;accessible_toilet;ergonomic_workspace,70,65,70
JOB-1006,Operations Associate,Accessible Employer F,Chennai,Hybrid,28.6,11.9,sql;excel;testing;customer_support,captioned_meetings;wheelchair_access;quiet_workspace;accessible_toilet;remote_option;accessible_parking,66,85,66
JOB-1007,Customer Support Specialist,Accessible Employer G,Hyderabad,On-site,25.9,7.6,python;documentation;project_management;testing,wheelchair_access;captioned_meetings;screen_reader_support;remote_option;quiet_workspace;step_free_entry,84,84,50
JOB-1008,Software Engineer,Accessible Employer H,Bengaluru,Hybrid,23.8,7.1,testing;data_analysis;documentation;communication,remote_option;assistive_technology;screen_reader_support;step_free_entry;quiet_workspace;flexible_schedule,55,63,100
JOB-1009,Operations Associate,Accessible Employer I,Delhi,On-site,1.4,11.9,testing;customer_support;design;python,screen_reader_support;remote_option;accessible_toilet;accessible_parking;captioned_meetings;assistive_technology,79,64,67
JOB-1010,Customer Support Specialist,Accessible Employer J,Pune,Remote,30.6,8.3,documentation;communication;data_analysis;testing,captioned_meetings;remote_option;accessible_toilet;wheelchair_access;step_free_entry;accessible_parking,66,77,56
JOB-1011,Project Coordinator,Accessible Employer K,Bengaluru,Hybrid,34.6,11.9,design;sql;excel;customer_support,ergonomic_workspace;captioned_meetings;screen_reader_support;flexible_schedule;remote_option;step_free_entry,84,75,98
JOB-1012,Customer Support Specialist,Accessible Employer L,Remote,Remote,32.8,15.7,project_management;excel;sql;testing,step_free_entry;wheelchair_access;flexible_schedule;accessible_toilet;screen_reader_support;quiet_workspace,71,81,66
